City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Garmsar,IR,75.56,overcast clouds,35.2182,52.3409,مجتمع مرصاد
5,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Pak Chong,TH,75.81,light rain,14.708,101.4161,PakChong Phubade Hotel
10,Muktsar,IN,85.23,clear sky,30.4833,74.5167,STARiHOTEL Muktsar Sahib
12,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,Santa Barbara,US,71.29,clear sky,34.7333,-120.0343,Upper Ballard Campground
19,Jalu,LY,82.04,broken clouds,29.0331,21.5482,صاحبة الفخامة
20,Wanning,CN,79.36,overcast clouds,18.8003,110.3967,Paradise Hotel
27,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
30,Acarau,BR,77.77,broken clouds,-2.8856,-40.12,castelo pizzaria
31,Kavieng,PG,84.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
33,Sao Joao Da Barra,BR,76.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
40,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
42,Bundaberg,AU,74.21,scattered clouds,-24.85,152.35,Takalvan Motel
48,San Patricio,US,84.92,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
49,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
52,Puerto Barrios,GT,84.34,scattered clouds,15.7167,-88.6,Hotel El Castillo
59,Goure,NE,82.62,broken clouds,13.9835,10.2704,
60,Luganville,VU,81.18,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
65,Galveston,US,81.18,scattered clouds,29.3669,-94.9669,Crystal Suites
66,Butaritari,KI,81.9,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
68,Puerto Leguizamo,CO,74.12,overcast clouds,-0.1934,-74.7819,la casona de juancho
69,Bengkulu,ID,77.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
