City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lata,PT,2022-04-24 23:15:37,40.1629,-8.3327,52.07,95,76,1.14
1,Victoria,HK,2022-04-24 23:09:43,22.2855,114.1577,81.32,86,12,8.01
2,Punta Arenas,CL,2022-04-24 23:08:22,-53.15,-70.9167,41.11,93,100,6.91
3,Albany,US,2022-04-24 23:08:44,42.6001,-73.9662,66.72,33,49,4.0
4,Saskylakh,RU,2022-04-24 23:09:25,71.9167,114.0833,0.7,100,96,1.5
5,Rikitea,PF,2022-04-24 23:09:24,-23.1203,-134.9692,73.02,89,100,16.44
6,Laguna De Perlas,NI,2022-04-24 23:15:38,12.3429,-83.6712,81.68,72,5,7.78
7,Wajir,KE,2022-04-24 23:15:38,1.7471,40.0573,80.6,66,63,9.44
8,Port-Cartier,CA,2022-04-24 23:15:39,50.0334,-66.8654,39.74,89,72,2.08
9,Kruisfontein,ZA,2022-04-24 23:10:56,-34.0033,24.7314,54.88,72,99,3.58
10,Saint Austell,GB,2022-04-24 23:15:39,50.3383,-4.7658,54.01,76,99,6.91
11,Media Luna,CU,2022-04-24 23:15:39,20.1419,-77.435,74.77,85,100,9.37
12,Longyearbyen,SJ,2022-04-24 23:09:22,78.2186,15.6401,6.64,66,75,11.5
13,Moranbah,AU,2022-04-24 23:15:40,-22.0016,148.0466,67.68,75,100,22.21
14,Kalachinsk,RU,2022-04-24 23:15:40,55.0529,74.5751,33.37,58,23,6.8
15,Atuona,PF,2022-04-24 23:09:32,-9.8,-139.0333,79.39,74,15,17.69
16,Ushuaia,AR,2022-04-24 23:09:27,-54.8,-68.3,38.86,70,0,5.75
17,Dunedin,NZ,2022-04-24 23:12:05,-45.8742,170.5036,59.61,64,77,15.77
18,Arlit,NE,2022-04-24 23:15:41,18.7369,7.3853,86.29,11,1,7.67
19,Xiaoshi,CN,2022-04-24 23:15:42,41.2971,124.1209,57.42,91,89,6.4
20,Hermanus,ZA,2022-04-24 23:10:40,-34.4187,19.2345,58.91,75,82,4.88
21,Basco,PH,2022-04-24 23:15:42,20.4487,121.9702,81.81,83,11,18.25
22,Savannah Bight,HN,2022-04-24 23:15:42,16.45,-85.85,81.77,74,0,18.01
23,Ahipara,NZ,2022-04-24 23:12:19,-35.1667,173.1667,65.35,72,96,11.95
24,Vila Velha,BR,2022-04-24 23:15:43,-20.3297,-40.2925,78.75,83,40,10.36
25,Mawlaik,MM,2022-04-24 23:15:43,23.6333,94.4167,72.73,60,1,1.66
26,Linxia,CN,2022-04-24 23:15:44,35.6003,103.2064,50.68,64,67,3.31
27,Ponta Do Sol,PT,2022-04-24 23:13:16,32.6667,-17.1,65.01,86,95,7.99
